  省份  ,  城市  ,  县（乡）  ,  日期  ,  最高温度  ,  最低温度  ,  天气  ,  风向  
安徽,合肥,城区,['14日（今天）'],['22'],['10℃'],['多云转晴'],['<3级']
安徽,合肥,城区,['15日（明天）'],['22'],['12℃'],['多云转阴'],['<3级']
安徽,合肥,城区,['16日（后天）'],['27'],['14℃'],['多云转晴'],['<3级']
安徽,合肥,城区,['17日（周三）'],['29'],['16℃'],['晴转多云'],['<3级']
安徽,合肥,城区,['18日（周四）'],['31'],['20℃'],['多云'],['<3级']
安徽,合肥,城区,['19日（周五）'],['30'],['21℃'],['多云'],['<3级']
安徽,合肥,城区,['20日（周六）'],['29'],['20℃'],['多云转阴'],['<3级']
广东,广州,城区,['14日（今天）'],['23'],['19℃'],['大雨转雷阵雨'],['<3级']
广东,广州,城区,['15日（明天）'],['24'],['18℃'],['雷阵雨'],['<3级']
广东,广州,城区,['16日（后天）'],['23'],['18℃'],['大雨转雷阵雨'],['<3级']
广东,广州,城区,['17日（周三）'],['27'],['20℃'],['多云'],['<3级']
广东,广州,城区,['18日（周四）'],['27'],['20℃'],['多云转中到大雨'],['<3级']
广东,广州,城区,['19日（周五）'],['25'],['22℃'],['中到大雨'],['<3级']
广东,广州,城区,['20日（周六）'],['26'],['25℃'],['中到大雨转小雨'],['<3级']
四川,成都,城区,['14日（今天）'],['24'],['13℃'],['晴'],['<3级']
四川,成都,城区,['15日（明天）'],['21'],['14℃'],['阴转晴'],['<3级']
四川,成都,城区,['16日（后天）'],['26'],['15℃'],['晴'],['<3级']
四川,成都,城区,['17日（周三）'],['27'],['18℃'],['晴转多云'],['<3级']
四川,成都,城区,['18日（周四）'],['28'],['20℃'],['多云转小雨'],['<3级']
四川,成都,城区,['19日（周五）'],['26'],['19℃'],['阵雨转小雨'],['<3级']
四川,成都,城区,['20日（周六）'],['25'],['16℃'],['中雨转小雨'],['<3级']
2019-04-14 11:33:11
安徽,合肥,城区,['14日（今天）'],['22'],['10℃'],['多云转晴'],['<3级']
安徽,合肥,城区,['15日（明天）'],['22'],['12℃'],['多云转阴'],['<3级']
安徽,合肥,城区,['16日（后天）'],['27'],['14℃'],['多云转晴'],['<3级']
安徽,合肥,城区,['17日（周三）'],['29'],['16℃'],['晴转多云'],['<3级']
安徽,合肥,城区,['18日（周四）'],['31'],['20℃'],['多云'],['<3级']
安徽,合肥,城区,['19日（周五）'],['30'],['21℃'],['多云'],['<3级']
安徽,合肥,城区,['20日（周六）'],['29'],['20℃'],['多云转阴'],['<3级']
广东,广州,城区,['14日（今天）'],['23'],['19℃'],['大雨转雷阵雨'],['<3级']
广东,广州,城区,['15日（明天）'],['24'],['18℃'],['雷阵雨'],['<3级']
广东,广州,城区,['16日（后天）'],['23'],['18℃'],['大雨转雷阵雨'],['<3级']
广东,广州,城区,['17日（周三）'],['27'],['20℃'],['多云'],['<3级']
广东,广州,城区,['18日（周四）'],['27'],['20℃'],['多云转中到大雨'],['<3级']
广东,广州,城区,['19日（周五）'],['25'],['22℃'],['中到大雨'],['<3级']
广东,广州,城区,['20日（周六）'],['26'],['25℃'],['中到大雨转小雨'],['<3级']
四川,成都,城区,['14日（今天）'],['24'],['13℃'],['晴'],['<3级']
四川,成都,城区,['15日（明天）'],['21'],['14℃'],['阴转晴'],['<3级']
四川,成都,城区,['16日（后天）'],['26'],['15℃'],['晴'],['<3级']
四川,成都,城区,['17日（周三）'],['27'],['18℃'],['晴转多云'],['<3级']
四川,成都,城区,['18日（周四）'],['28'],['20℃'],['多云转小雨'],['<3级']
四川,成都,城区,['19日（周五）'],['26'],['19℃'],['阵雨转小雨'],['<3级']
四川,成都,城区,['20日（周六）'],['25'],['16℃'],['中雨转小雨'],['<3级']
